Component 1,Component 2,Method,Parameter,group
67.03827667236328,-0.29833555221557617,t-SNE,n_components: 2; perplexity: 30,MONOTOPIC MEMBRANE PROTEINS
-13.010125160217285,2.3904495239257812,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
50.95258331298828,21.126197814941406,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
42.613189697265625,21.443620681762695,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
50.09062576293945,19.40747833251953,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
-7.731680393218994,31.241262435913086,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
17.649991989135742,-59.28628158569336,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-7.123444080352783,-51.192867279052734,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-6.909272193908691,-51.807979583740234,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
25.67336082458496,52.92591094970703,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
28.380067825317383,49.565467834472656,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.67336082458496,52.92591094970703,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
69.878662109375,-4.938088417053223,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
8.949257850646973,22.59674835205078,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
67.03827667236328,-0.29833555221557617,t-SNE,n_components: 2; perplexity: 30,MONOTOPIC MEMBRANE PROTEINS
-6.909272193908691,-51.807979583740234,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-7.072493076324463,-51.388267517089844,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
2.4066503047943115,23.594369888305664,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
42.878265380859375,-13.828619003295898,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
41.00740051269531,-16.039031982421875,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
42.91304397583008,-14.202322006225586,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
41.880496978759766,-14.123795509338379,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-19.37641716003418,-5.030322074890137,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-24.364757537841797,-10.491387367248535,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-28.745323181152344,-14.481754302978516,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
42.9927864074707,28.983070373535156,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
47.107337951660156,19.643362045288086,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
43.33323287963867,28.8273983001709,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.70699119567871,46.82539749145508,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.32868194580078,50.295745849609375,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
42.7588996887207,29.006595611572266,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.980785369873047,29.600675582885742,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
28.75922966003418,51.975807189941406,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
6.541183948516846,57.28353500366211,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
-30.978090286254883,-16.049055099487305,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
43.1506233215332,28.325231552124023,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
-25.588560104370117,-12.81145191192627,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
13.746330261230469,-57.700714111328125,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
51.424354553222656,22.600574493408203,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
19.697650909423828,-56.95391082763672,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-6.373931884765625,37.655616760253906,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
50.87309646606445,22.911174774169922,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:BETA-BARREL
-8.149349212646484,23.655996322631836,t-SNE,n_components: 2; perplexity: 30,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
15.945414543151855,5.205331325531006,t-SNE,n_components: 2; perplexity: 30,MONOTOPIC MEMBRANE PROTEINS
