Component 1,Component 2,Method,Parameter,group
18.246355056762695,17.019636154174805,UMAP,n_components: 2; n_neighbors: 15,MONOTOPIC MEMBRANE PROTEINS
4.35988712310791,8.463135719299316,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
12.611804962158203,14.478854179382324,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
13.183816909790039,13.295204162597656,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
12.669236183166504,14.269072532653809,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
7.1913228034973145,4.010582447052002,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-3.828274965286255,17.789684295654297,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-5.749110221862793,15.730416297912598,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-5.657497882843018,15.768983840942383,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
18.824909210205078,-2.639069080352783,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
18.715490341186523,-3.220917224884033,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
18.81690788269043,-2.6218910217285156,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
19.92118263244629,15.722105979919434,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
6.0197038650512695,0.8655635118484497,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
18.249067306518555,17.026487350463867,UMAP,n_components: 2; n_neighbors: 15,MONOTOPIC MEMBRANE PROTEINS
-5.689140796661377,15.744178771972656,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-5.732034206390381,15.716713905334473,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
5.916563510894775,1.7825645208358765,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:BETA-BARREL
-3.333657741546631,-1.6740796566009521,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-2.8545382022857666,-1.0775201320648193,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
