,Component 1,Component 2,Method,Parameter,cell_length_a,cell_length_b,cell_length_c,crystal_density_matthews,group,subgroup,rcsentinfo_experimental_method,pdb_code,Outlier
0,1.3476435742775243,-1.532057173477089,PCA,n_components: 2,240.823,116.62,68.038,4.18,TRANSMEMBRANE PROTEINS:BETA-BARREL,Lipopolysaccharide (LPS) Transport Proteins,X-ray,4Q35,Inlier
1,0.464575993398816,-0.9037815819567788,PCA,n_components: 2,143.972,143.972,90.56,3.73,TRANSMEMBRANE PROTEINS:BETA-BARREL,Lipopolysaccharide (LPS) Transport Proteins,X-ray,4Y25,Inlier
2,0.8212378662111468,-0.7346682683225284,PCA,n_components: 2,232.934,111.67,164.133,3.08,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"Channels: Potassium, Sodium, & Proton Ion-Selective",X-ray,4GX0,Inlier
3,0.04189264882336163,0.7096371727681501,PCA,n_components: 2,84.018,84.018,196.121,4.4,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"Channels: Potassium, Sodium, & Proton Ion-Selective",X-ray,3JYC,Inlier
4,-0.20708952747274686,0.5989553283357842,PCA,n_components: 2,83.326,83.326,184.809,4.07,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"Channels: Potassium, Sodium, & Proton Ion-Selective",X-ray,3SPI,Inlier
5,-1.0747594329602057,-0.1410411302994499,PCA,n_components: 2,84.396,84.396,107.11,2.99,TRANSMEMBRANE PROTEINS:BETA-BARREL,Beta-Barrel Membrane Proteins: Porins and Relatives,X-ray,7DE8,Inlier
6,-2.741363079473705,-0.10934847141235371,PCA,n_components: 2,25.503,53.183,56.851,1.91,TRANSMEMBRANE PROTEINS:BETA-BARREL,Type III Secretion Systems,X-ray,6XFJ,Inlier
7,-0.25049159438975444,0.5834433868380597,PCA,n_components: 2,82.695,82.695,182.441,4.03,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"Channels: Potassium, Sodium, & Proton Ion-Selective",X-ray,5KUK,Inlier
8,-0.006401872996832741,0.6636144801791114,PCA,n_components: 2,82.852,82.852,189.109,4.39,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"Channels: Potassium, Sodium, & Proton Ion-Selective",X-ray,6M86,Inlier
9,0.5111794307951525,-1.3158545248750488,PCA,n_components: 2,130.34,221.964,85.966,2.85,MONOTOPIC MEMBRANE PROTEINS,Oxidases,X-ray,1OJA,Inlier
10,-1.4126482534027713,-0.24979631177007494,PCA,n_components: 2,77.455,77.455,86.723,2.75,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"Channels: Potassium, Sodium, & Proton Ion-Selective",X-ray,3K6N,Inlier
11,-0.33113852684686707,-0.706371548480987,PCA,n_components: 2,112.115,163.277,112.22,2.54,TRANSMEMBRANE PROTEINS:BETA-BARREL,Type IV Secretion Systems,X-ray,8DOL,Inlier
12,0.43290915156320076,-0.3771799518042108,PCA,n_components: 2,128.284,136.176,136.133,3.83,TRANSMEMBRANE PROTEINS:BETA-BARREL,Beta-Barrel Membrane Proteins: Monomeric/Dimeric,X-ray,2VDE,Inlier
13,-0.699100555099849,1.9721841986358954,PCA,n_components: 2,73.9,70.2,344.5,2.88,TRANSMEMBRANE PROTEINS:BETA-BARREL,Beta-Barrel Membrane Proteins: Monomeric/Dimeric,X-ray,3D5K,Inlier
