thickness,subunit_segments,tilt,pdb_code,membrane_topology_in,membrane_topology_out,group
8.9,0.0,90.0,1PRH,cytoplasmic side,lumenal side,MONOTOPIC MEMBRANE PROTEINS
20.9,27.0,0.0,7VD2,cytoplasmic side ,intermembrane space,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.0,26.0,6.0,4Q35,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.6,16.0,8.0,4Y25,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
19.4,36.0,3.0,7OMM,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.8,8.0,0.0,4GX0,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.4,12.0,2.0,7ZDZ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.5,8.0,0.0,3JYC,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,8.0,0.0,3SPI,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.8,60.0,0.0,5WQ7,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.8,48.0,0.0,7DE8,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.8,60.0,0.0,6HCG,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
17.0,0.0,90.0,5TCR,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.8,14.0,11.0,7AGX,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:BETA-BARREL
8.9,0.0,90.0,1PTH,cytoplasmic side,lumenal side,MONOTOPIC MEMBRANE PROTEINS
30.8,8.0,0.0,5KUK,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,8.0,0.0,6M86,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,12.0,6.0,6S3R,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.0,24.0,0.0,5WPV,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,28.0,0.0,7SQ8,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,24.0,0.0,5W3S,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,24.0,0.0,6AYE,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.4,24.0,0.0,3J5P,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,24.0,0.0,3J5Q,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,24.0,0.0,5IRZ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
24.6,12.0,0.0,1EK9,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
18.2,14.0,0.0,3JQO,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.4,12.0,0.0,2VDE,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.2,42.0,0.0,6W6M,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
22.6,40.0,8.0,6VE2,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,12.0,0.0,3D5K,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.6,17.0,0.0,7OKN,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.4,50.0,1.0,6H3I,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.2,108.0,0.0,6CB8,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.6,24.0,0.0,7LP9,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
24.3,12.0,1.0,3PIK,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.2,24.0,0.0,7L2P,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.6,8.0,0.0,4KFM,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.4,22.0,5.0,1NQE,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
37.4,8.0,1.0,6XIS,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.1,8.0,0.0,1P7B,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.4,22.0,6.0,2GUF,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
29.8,8.0,0.0,2WLJ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
26.4,1.0,48.0,6I8W,cytoplasmic side,periplasm,MONOTOPIC MEMBRANE PROTEINS
7.4,0.0,66.0,5KN7,periplasm,extracellular side,MONOTOPIC MEMBRANE PROTEINS
30.0,8.0,0.0,3ZRS,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.2,8.0,0.0,4LP8,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,8.0,0.0,6O9U,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
