,bibliography_year,inconsistencies,pdb_code,group (OPM),group (MPstruc),rcsentinfo_experimental_method,protein_codes,experimental_method,inconsistency
0,1997,3,1PFO,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, NMR, NMR","['1PFO', '1FDM', '1AFO']",X-Ray Crystallography,1
1,1997,3,1FDM,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, NMR, NMR","['1PFO', '1FDM', '1AFO']",Nuclear Magnetic Resonance (NMR),1
2,1997,3,1AFO,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, NMR, NMR","['1PFO', '1FDM', '1AFO']",Nuclear Magnetic Resonance (NMR),1
3,1998,2,1B12,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,MONOTOPIC MEMBRANE PROTEINS,"X-ray, NMR","['1B12', '2CPB']",X-Ray Crystallography,1
4,1998,2,2CPB,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, NMR","['1B12', '2CPB']",Nuclear Magnetic Resonance (NMR),1
5,2002,3,1GOS,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray","['1GOS', '1MT5', '1KN9']",X-Ray Crystallography,1
6,2002,3,1MT5,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray","['1GOS', '1MT5', '1KN9']",X-Ray Crystallography,1
7,2002,3,1KN9,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray","['1GOS', '1MT5', '1KN9']",X-Ray Crystallography,1
8,2003,2,1OJA,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, NMR","['1OJA', '1MZT']",X-Ray Crystallography,1
9,2003,2,1MZT,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, NMR","['1OJA', '1MZT']",Nuclear Magnetic Resonance (NMR),1
10,2004,4,1O5W,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, NMR","['1O5W', '1T7D', '1UUM', '1PJF']",X-Ray Crystallography,1
11,2004,4,1T7D,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, NMR","['1O5W', '1T7D', '1UUM', '1PJF']",X-Ray Crystallography,1
12,2004,4,1UUM,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, NMR","['1O5W', '1T7D', '1UUM', '1PJF']",X-Ray Crystallography,1
13,2004,4,1PJF,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, NMR","['1O5W', '1T7D', '1UUM', '1PJF']",Nuclear Magnetic Resonance (NMR),1
14,2005,3,2BXR,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, NMR, NMR","['2BXR', '1YGM', '1ZLL']",X-Ray Crystallography,1
15,2005,3,1YGM,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, NMR, NMR","['2BXR', '1YGM', '1ZLL']",Nuclear Magnetic Resonance (NMR),1
16,2005,3,1ZLL,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, NMR, NMR","['2BXR', '1YGM', '1ZLL']",Nuclear Magnetic Resonance (NMR),1
17,2006,4,2GMH,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, NMR, X-ray","['2GMH', '2J58', '2HAC', '2J7A']",X-Ray Crystallography,1
18,2006,4,2J58,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, NMR, X-ray","['2GMH', '2J58', '2HAC', '2J7A']",X-Ray Crystallography,1
19,2006,4,2HAC,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, NMR, X-ray","['2GMH', '2J58', '2HAC', '2J7A']",Nuclear Magnetic Resonance (NMR),1
20,2006,4,2J7A,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, NMR, X-ray","['2GMH', '2J58', '2HAC', '2J7A']",X-Ray Crystallography,1
21,2007,3,2OLV,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, NMR","['2OLV', '2OQO', '2JO1']",X-Ray Crystallography,1
22,2007,3,2OQO,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, NMR","['2OLV', '2OQO', '2JO1']",X-Ray Crystallography,1
23,2007,3,2JO1,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, NMR","['2OLV', '2OQO', '2JO1']",Nuclear Magnetic Resonance (NMR),1
24,2008,8,2Z5X,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, X-ray, NMR, NMR, X-ray, NMR","['2Z5X', '2QCU', '2PRM', '2VQG', '2JWA', '2K1L', '3BKD', '2RLF']",X-Ray Crystallography,1
25,2008,8,2QCU,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, NMR, X-ray, NMR","['2Z5X', '2QCU', '2PRM', '2VQG', '2JWA', '2K1L', '3BKD', '2RLF']",X-Ray Crystallography,1
26,2008,8,2PRM,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, X-ray, NMR, NMR, X-ray, NMR","['2Z5X', '2QCU', '2PRM', '2VQG', '2JWA', '2K1L', '3BKD', '2RLF']",X-Ray Crystallography,1
27,2008,8,2VQG,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, NMR, X-ray, NMR","['2Z5X', '2QCU', '2PRM', '2VQG', '2JWA', '2K1L', '3BKD', '2RLF']",X-Ray Crystallography,1
28,2008,8,2JWA,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, NMR, X-ray, NMR","['2Z5X', '2QCU', '2PRM', '2VQG', '2JWA', '2K1L', '3BKD', '2RLF']",Nuclear Magnetic Resonance (NMR),1
29,2008,8,2K1L,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, NMR, X-ray, NMR","['2Z5X', '2QCU', '2PRM', '2VQG', '2JWA', '2K1L', '3BKD', '2RLF']",Nuclear Magnetic Resonance (NMR),1
30,2008,8,3BKD,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, NMR, X-ray, NMR","['2Z5X', '2QCU', '2PRM', '2VQG', '2JWA', '2K1L', '3BKD', '2RLF']",X-Ray Crystallography,1
31,2008,8,2RLF,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, NMR, X-ray, NMR","['2Z5X', '2QCU', '2PRM', '2VQG', '2JWA', '2K1L', '3BKD', '2RLF']",Nuclear Magnetic Resonance (NMR),1
32,2009,9,3HYW,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",X-Ray Crystallography,1
33,2009,9,3VMA,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",X-Ray Crystallography,1
34,2009,9,3I65,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",X-Ray Crystallography,1
35,2009,9,3JQO,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,TRANSMEMBRANE PROTEINS:BETA-BARREL,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",X-Ray Crystallography,1
36,2009,9,2KNC,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",Nuclear Magnetic Resonance (NMR),1
37,2009,9,3HD7,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"X-ray, X-ray, X-ray, X-ray, NMR, X-ray, NMR, NMR, NMR","['3HYW', '3VMA', '3I65', '3JQO', '2KNC', '3HD7', '2KOG', '2KIH', '2KIX']",X-Ray Crystallography,1
